pl_name,updated_ecc,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 179949 b,0.022,HD 179949,1,1,1,Radial Velocity,2000,Anglo-Australian Telescope,1,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,3.092514,3.2e-05,-3.2e-05,0,0.0443,0.0026,-0.0026,0.0,,,,,,,,,291.12,24.154,-24.154,0.0,0.916,0.076,-0.076,0.0,Msini,0.022,0.015,-0.015,0.0,,,,,,,,,0,112.6,1.8,-1.8,0.0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,6168.0,,,0.0,,,,,1.21,,,0.0,0.137,,,0.0,[Fe/H],4.34,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m33.36s,288.8890182,-24d10m47.26s,-24.1797939,27.4573,0.0578,-0.0577,6.25,0.03,-0.03,4.936,0.018,-0.018,6.1106,0.0009542,-0.0009542,2014-07-09,2006-07,2014-07-09
HD 180053 b,0.081,HD 180053,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,213.72,0.47,-0.47,0,0.843,0.063,-0.063,0.0,,,,,,,,,697.31902,20.34112,-20.34112,0.0,2.194,0.064,-0.064,0.0,Msini,0.081,0.029,-0.029,0.0,,,,,,,,,0,51.5,1.4,-1.4,0.0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5131.0,,,0.0,4.06,,,0.0,1.75,,,0.0,,,,,,3.54,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m36.20s,288.4008374,+34d54m52.80s,34.9146658,137.043,0.609,-0.609,7.93,0.03,-0.03,5.84,0.017,-0.017,7.70327,0.000421,-0.000421,2018-12-03,2019-04,2018-12-06
HD 18015 b,0.148,HD 18015,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,2278.0,71.0,-71.0,0,3.87,0.32,-0.32,0.0,,,,,,,,,1010.6994,73.1009,-73.1009,0.0,3.18,0.23,-0.23,0.0,Msini,0.148,0.061,-0.061,0.0,,,,,,,,,0,38.0,2.7,-2.7,0.0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5603.0,,,0.0,3.13,,,0.0,1.49,,,0.0,,,,,,3.64,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m27.27s,43.3636339,-08d50m52.94s,-8.8480392,123.801,0.7975,-0.7975,7.89,0.03,-0.03,6.204,0.02,-0.02,7.72194,0.000483,-0.000483,2018-12-03,2019-04,2018-12-06
HD 180314 b,0.247,HD 180314,1,1,1,Radial Velocity,2010,Subaru Telescope,1,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,394.73,0.13,-0.13,0,1.448,0.0,0.0,0.0,,,,,,,,,7216.92964,80.09276,-81.04624,0.0,22.707,0.252,-0.255,0.0,Msini,0.247,0.009,-0.009,0.0,,,,,,,,,0,343.39,3.83,-3.92,0.0,<a refstr=SATO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010PASJ...62.1063S/abstract target=ref> Sato et al. 2010 </a>,,4917.0,100.0,-100.0,0.0,9.2,0.4,-0.4,0.0,2.6,0.3,-0.3,0.0,0.2,0.09,-0.09,0.0,[Fe/H],2.98,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h14m50.27s,288.7094401,+31d51m37.58s,31.8604391,122.362,0.449,-0.449,6.61519,0.023,-0.023,4.312,0.02,-0.02,6.34583,0.0005102,-0.0005102,2023-09-19,2023-08,2023-09-19
HD 180617 b,0.101,HD 180617,1,2,1,Radial Velocity,2018,Calar Alto Observatory,1,Published Confirmed,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,105.911,0.109,-0.109,0,0.343,0.004,-0.004,0.0,,,,,,,,,12.214,1.05,-1.05,0.0,0.03843,0.0033,-0.0033,0.0,Msini,0.101,0.053,-0.053,0.0,,,,,,,,,0,2.696,0.224,-0.224,0.0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,,3534.0,51.0,-51.0,0.0,0.48,0.01,-0.01,0.0,0.48,0.02,-0.02,0.0,-0.04,0.16,-0.16,0.0,[Fe/H],4.9,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m54.66s,289.2277322,+05d09m47.38s,5.1631615,5.91059,0.00183,-0.00183,9.12,0.1,-0.1,4.673,0.02,-0.02,8.0976,0.00109,-0.00109,2020-12-10,2021-01,2020-12-17
HD 180902 b,0.107,HD 180902,1,2,1,Radial Velocity,2009,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,510.9,1.5,-1.5,0,1.4,0.11,-0.11,0.0,,,,,,,,,535.54355,13.03103,-13.03103,0.0,1.685,0.041,-0.041,0.0,Msini,0.107,0.022,-0.022,0.0,,,,,,,,,0,34.25,0.84,-0.84,0.0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4961.0,,,0.0,4.16,,,0.0,1.41,,,0.0,,,,,,3.36,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m17.75s,289.8239604,-23d33m29.68s,-23.5582432,104.577,0.5735,-0.5735,7.78,0.03,-0.03,5.543,0.02,-0.02,7.52132,0.000261,-0.000261,2018-12-03,2019-04,2018-12-06
HD 181234 b,0.726,HD 181234,1,1,1,Radial Velocity,2019,La Silla Observatory,1,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,7593.40512,113.6102,-121.82598,0,7.427,0.304,-0.34,0.0,,,,,,,,,2980.91263,321.00669,-315.60361,0.0,9.379,1.01,-0.993,0.0,Mass,0.726,0.01,-0.01,0.0,,,,,,,,,0,126.925,1.577,-1.555,0.0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.94,0.12,-0.12,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m59.97s,289.9998695,-09d19m29.89s,-9.32497,47.7458,0.1298,-0.129,8.59,0.03,-0.03,6.689,0.02,-0.02,8.36926,0.000376,-0.000376,2023-06-12,2022-09,2023-06-12
HD 181342 b,0.022,HD 181342,1,1,1,Radial Velocity,2009,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,564.1,4.1,-4.1,0,1.592,0.091,-0.091,0.0,,,,,,,,,807.2882,60.3877,-60.3877,0.0,2.54,0.19,-0.19,0.0,Msini,0.022,0.051,-0.051,0.0,,,,,,,,,0,44.1,3.3,-3.3,0.0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4945.0,,,0.0,4.71,,,0.0,1.69,,,0.0,,,,,,3.28,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m04.18s,290.2674078,-23d37m10.92s,-23.6196996,120.391,0.694,-0.694,7.55,0.03,-0.03,5.251,0.02,-0.02,7.28405,0.000249,-0.000249,2018-12-03,2019-04,2018-12-06
HD 18143 b,0.224,HD 18143,1,1,2,Radial Velocity,2022,Multiple Observatories,1,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,10.2851,0.00213,-0.00263,0,0.088,0.003,-0.004,0.0,,,,,,,,,10.80617,1.58914,-2.2248,0.0,0.034,0.005,-0.007,0.0,Msini,0.224,0.171,-0.122,0.0,,,,,,,,,0,3.614,0.563,-0.655,0.0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.85,0.1,-0.1,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h55m39.37s,43.9140248,+26d52m20.58s,26.8723829,22.5243,0.023,-0.023,7.518,0.091,-0.091,5.427,0.018,-0.018,7.33209,0.000336,-0.000336,2023-06-14,2022-09,2023-06-14
HD 18143 c,0.194,HD 18143,1,1,2,Radial Velocity,2022,Multiple Observatories,1,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,28982.41764,18264.56731,-7978.16709,0,17.53,6.587,-3.447,0.0,,,,,,,,,3177.64841,623.26151,-594.65695,0.0,9.998,1.961,-1.871,0.0,Mass,0.194,0.021,-0.097,0.0,,,,,,,,,0,43.943,4.234,-4.749,0.0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.85,0.1,-0.1,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h55m39.37s,43.9140248,+26d52m20.58s,26.8723829,22.5243,0.023,-0.023,7.518,0.091,-0.091,5.427,0.018,-0.018,7.33209,0.000336,-0.000336,2023-06-12,2022-09,2023-06-12
